DISTRITO,CÓDIGO,NOMBRE,EDUCACIÓN,DEPENDENCIA,RESOLUCIÓN,FECHA DE RESOLUCIÓN,ZONA,DIRECCIÓN,ESTADO,https://sigee.sie.gob.bo/#
COCHABAMBA 1,80980276,JOSE ANTONIO ARZE,Regular,Fiscal,R.A. 01049/2009,29/5/2009,SUD ESTE CENTRAL,SUCRE Nro 561,Abierta,.
COCHABAMBA 1,80980279,JUNIN,Regular,Fiscal,R.A. 6038/2024,19/12/2024,SUD ESTE CENTRAL,SUCRE Nro 561,Abierta,.
COCHABAMBA 1,80980284,BOLIVAR,Regular,Fiscal,3616/2000,1/8/2000,SUD ESTE CENTRAL,SUCRE Nro 561,Abierta,.
COCHABAMBA 2,80980358,YUGOSLAVIA,Regular,Privada,R.A.1589/2021,16/7/2021,SUD LORETO,AV. PANAMERICANA,Abierta,.
COCHABAMBA 2,80980680,PLURINACIONAL BOLIVIA UNIDA,Regular,Fiscal,R.A. 6192/2022,23/12/2022,SUD OESTE HIGUERANI,CALLE INNOMINADA S/N - SUD OESTE HIGUERANI,Abierta,.
COCHABAMBA 2,80980301,AMOR DE DIOS,Regular,Convenio,R.A. 050/2022,4/1/2022,SUD SAN CARLOS,AV. REPUBLICA Nro 1545,Abierta,.
COCHABAMBA 2,80980062,AMOR DE DIOS NOCTURNO,Regular,Convenio,R.A. 2859/2021,8/11/2021,SUD SAN CARLOS,AV. REPUBLICA Nro 1545,Abierta,.
COCHABAMBA 2,80980060,SANTISIMA TRINIDAD,Regular,Convenio,0082/2001,30/1/2001,SUD SAN CARLOS,AV. REPUBLICA Nro 1545,Cerrada,.
COCHABAMBA 2,80980061,JERONIMO USERA,Regular,Convenio,R.A. 2879/2021,8/11/2021,SUD SAN CARLOS,AV. REPUBLICA Nro 1545,Abierta,.
COCHABAMBA 2,80980673,MARISCAL SANTA CRUZ - LAS LOMAS,Regular,Fiscal,R.A. 4252/2022,20/7/2022,SUD. DISTRITO N° 9. SINDICATO AGRARIO HUASA HIGUERANI,JUNTA VECINAL LOMAS DE HUASA HIGUERANI,Abierta,.
COCHABAMBA 2,80980199,POTOSI,Regular,Fiscal,R.A. 0236/2016,12/2/2016,SUR,PASAJE MAIRANA ESQUINA PIRAI,Abierta,.
COCHABAMBA 2,80980200,GUIDO VILLAGOMEZ A,Regular,Fiscal,R.A. 3589/2017,28/12/2017,SUR,PASAJE MAIRANA ESQUINA PIRAI,Abierta,.
COCHABAMBA 2,80980565,PATRIA NUEVA,Regular,Fiscal,R.A. 874/2014,10/4/2014,SUR EL PALMAR,CALLE EUCALIPTOS,Abierta,.
COCHABAMBA 1,80980568,SANTA MARIA MAGDALENA POSTEL,Regular,Privada,R.A. 0772/2012,16/4/2012,SUR SAN ANTONIO,CALLE HONDURAS S/N ENTRE 25 DE MAYO Y ESTEBAN ARZE,Abierta,.
COCHABAMBA 2,80980559,STEFANO HOTELLIER,Regular,Convenio,R.A. 2196/2010,12/10/2010,TAMBORADA,JARKAPAMPA PAMPA SAN MIGUEL,Abierta,.
COCHABAMBA 2,80980449,NUESTRA SEÑORA DE LA MERCED,Alternativa y Especial,Convenio,R.A. 1437/2017,31/5/2017,TAMBORADA,JARKAPAMPA PAMPA SAN MIGUEL,Abierta,.
COCHABAMBA 1,80980138,TAQUIÑA B,Regular,Fiscal,R.A. 01041/2009,29/5/2009,TAQUIÑA,AVENIDA LA PAZ FINAL VILLA TAQUIÑA,Abierta,.
COCHABAMBA 1,80980264,MAX FERNANDEZ ROJAS,Regular,Fiscal,R.A. 01022/2009,29/5/2009,TAQUIÑA,AVENIDA LA PAZ FINAL VILLA TAQUIÑA,Abierta,.
COCHABAMBA 1,80980289,TAQUIÑA C,Regular,Fiscal,R.A. 01048/2009,29/5/2009,TAQUIÑA,AVENIDA LA PAZ FINAL VILLA TAQUIÑA,Abierta,.
COCHABAMBA 1,80980392,ALEJO CALATAYUD,Regular,Fiscal,R.A. 2899/2012,22/10/2012,TAQUIÑA,AVENIDA CENTENARIO,Abierta,.
COCHABAMBA 1,80980139,TAQUIÑA A,Regular,Fiscal,R.A.1227/2009,25/6/2009,TAQUIÑA,AVENIDA LA PAZ FINAL VILLA TAQUIÑA,Abierta,.
COCHABAMBA 1,80980167,MARISTA PRIMARIA,Regular,Convenio,R.A. 6040/2024,19/12/2024,TEMPORAL,KAPAC YUPANQUI Nro 2460,Abierta,.
COCHABAMBA 1,80980166,CHAMPAGNAT,Regular,Convenio,R.A. 6029/2024,19/12/2024,TEMPORAL,KAPAC YUPANQUI Nro 2460,Abierta,.
COCHABAMBA 1,80980241,OSCAR ALFARO,Regular,Fiscal,R.A. 1241/2009,25/6/2009,TEMPORAL,CALLE JACK LONDON ZONA TEMPORAL,Abierta,.
COCHABAMBA 1,80980349,LIBERTAD,Regular,Privada,2081,4/8/1988,TEMPORAL,JAVIER BAPTISTA Nro 328,Cerrada,.
